Site Name,Address,City,ZIP Code,Siren,Radius,Mounted Height,Land Use Description,Mapped Location
Woodland St & Gay St,0 1ST AVE N,NASHVILLE,37201,Eclipse 8,4400,50,VACANT COMMERCIAL LAND,POINT (-86.776981 36.166543)
Watkins Park,616 17TH AVE N,NASHVILLE,37203,508,14700,50,PARK OR RECREATION,POINT (-86.799817 36.16229)
Alex Green Elementary,3921 LLOYD RD,WHITES CREEK,37189,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.831647 36.252586)
Bell Road @ Bell Forge Rd,5432 BELL FORGE LN E,ANTIOCH,37013,Eclipse 8,4400,50,STRIP SHOPPING CENTER,POINT (-86.646603 36.05049)
Bellevue Middle School,655 COLICE JEANNE RD,NASHVILLE,37221,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.933764 36.06935)
Cleveland Park,927 N 6TH ST,NASHVILLE,37207,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.761289 36.187176)
Sevier Park,3021 LEALAND LN,NASHVILLE,37204,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.788514 36.119241)
McMurray Middle School,520 MCMURRAY DR,NASHVILLE,37211,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.722841 36.05733)
Gower Elementary,650 OLD HICKORY BLVD,NASHVILLE,37209,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.922722 36.114556)
Kirkpatrick Elementary,1000 SEVIER ST,NASHVILLE,37206,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.752617 36.167864)
Grassmere Park,3777 NOLENSVILLE PIKE,NASHVILLE,37211,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.733904 36.089776)
Highway 100,HWY 100 & OLD HARDING PK,BELLEVUE,,508,14700,50,RIGHT OF WAY,POINT (-87.023534 36.025092)
Percy Priest Reservoir,3696 BELL RD,NASHVILLE,37214,Eclipse 8,4400,50,CONVENIENCE MARKET WITH GAS,POINT (-86.625475 36.152135)
Dupont Hadley Middle School,1901 OLD HICKORY BLVD,OLD HICKORY,37138,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.643694 36.250059)
Fort Negley,534 CHESTNUT ST,NASHVILLE,37203,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.77574 36.142765)
Old Center Elementary,1245 DICKERSON PIKE,GOODLETTSVILLE,37072,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.737886 36.290944)
Berry Hill Playground Park,0 E. IRIS DR,NASHVILLE,37204,508,14700,50,PARK OR RECREATION,POINT (-86.762625 36.114229)
Shelby Park,2009 SEVIER ST,NASHVILLE,37206,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.732738 36.166865)
